Business,Business ID,County,Main Image,Address,Website,Number of Reviews,Star Rating Display,New Column B,Review Icon,Phone,Email,Complete?,Background Image,Icon Color,Address URL,Tags,tel:,Section Header (1),Average Rating,Rating Stars
Zest Kitchen and Bar,QnwGz4.0QuWdX4Pah.9-Vw,Salt Lake County,https://images.squarespace-cdn.com/content/v1/5370ee31e4b07f589128ed5c/1534285822159-GSUZFJL9R6VXJYF5KSMZ/manicotti.jpeg,"275 S 200 W, Salt Lake City, UT 84101",https://www.zestslc.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",801-433-0589,,,,,,,,,,
Sweet Hazel & Co,1q0hdYN0TEaPmzA2EihoPg,Salt Lake County,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/6106bddef465e91e0fccb355_Sweet%20Hazel.PNG,"167 West 4500 South, Murray, UT 84107",sweethazelandco.com,1,5.0 ⭐⭐⭐⭐⭐ (1) ,5.0 ⭐⭐⭐⭐⭐ (1) ,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='%2376a450' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",801-889-1466,,true,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/NSfaaNV0fRhAK9yZqEUi/pub/3funYcmZHGU2Q96Pb4tv.jpg,#76a450,https://maps.app.goo.gl/5vxbDjYtrVdeaKew5,"Cafe, Desserts, Vegan",tel:8018891466,,5,⭐⭐⭐⭐⭐
Coffee Garden,a.0y6Voc8TE-s8Pbd1KkXfw,Salt Lake County,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/62f7c65afd7b99427d3b79ad_Screenshot%202022-08-13%209.41.34%20AM.png,"878 E 900 S, Salt Lake City, UT 84105",https://www.coffeegardenslc.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
Friar Tuck's Barbershop (SLC),58Lq0nmeRkaxil4-PbNmRg,Salt Lake County,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/61fe992fcdbaef0474483a7e_51cb1538-7024-4e13-bb72-52dbd9502506.png,"11 W 1700 S Salt Lake City, UT 84115

",https://www.friartucksbarbershop.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,false,,,,,,,,
The Art Floral,oChuHpy.Tj2PbTAwMGVi7w,Salt Lake County,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/GLyS34gJTOtHtpGe05Cl/pub/fO9oaRefRqwZU41t6QgS.jpg,"580 E 300 S, Salt Lake City, UT 84102",https://theartfloral.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",801-363-0565,,,,,,,,,,
Cahoots ,DimVydSZRqmRIz0T9vAB4Q,Salt Lake County,https://lh3.googleusercontent.com/p/AF1QipMNQEX8fBfiWbSdVD6dTnhN_5jls3ADXc2NSHRP=s1600-w400,"878 900 S, Salt Lake City, UT 84105",,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
Plan-B Theatre ,Xbom2noVQ3qYYjvbEcay2w,Salt Lake County,https://archive.sltrib.com/images/2012/0503/now_NinthAnnualSlam_050312~0.jpg,"138 W 300 S, Salt Lake City, UT 84101",https://planbtheatre.org/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
Charisma Events,3roI59a6SOuvWoJMG8Lopg,,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/61a717e54f3db5e471f2fd1a_places-g07380ef7c_1920.jpg,,charismaeventproductions.com,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
Aqua Underwear,MaqNuPPUSgKJRr5FVNzAaw,,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/61a7234af1ceb36e2a5b85f3_195547577_384917556218789_6256448562531746626_n.jpg,,https://www.aquaunderwearslc.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,https://hosting.photobucket.com/images/i/lgbtqut/DSC06203b.jpg,,,,,,,
Under the Umbrella Bookstore,RekEbrQSStqQiu6uJKJTYg,Salt Lake County,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/61acff959d1b1647a8dd7b5e_154539694_106939338113876_6947648242697205525_n.png,"511 W. 200 S. #120 Salt Lake City, UT 84101",https://www.undertheumbrellabookstore.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",801-922-0923,,,,,,,,,,
John Sargeant the Piano Man,lq8hf73KQIejOoC2TGri3A,,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/61b64b8dc6044ec9c07b31f0_Untitled%20design%20(31).png,,,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
3Peaks Training,ZxjGB2WFSRCortGK6.uLHA,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/GLyS34gJTOtHtpGe05Cl/pub/K6qWuyGgx1v5vtl0k21O.webp,,,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
Celebrate Therapy,xDl2y.ZOTsaxK6CalpzuTA,Utah County,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/612ae6fb0bc3a67909579880_Untitled%20design%20(7).png,"286 W. Center St., Suite 200, Provo, UT 84601",,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
Beckett Farms,a.K4QDjJWQOqDPOMDEsda5g,Wasatch County,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/61b6474055aacb4906489f40_166409308_104409425085985_3000956608387866818_n.jpg,"1298 S 3600 E, Heber City UT 84032",https://www.facebook.com/BeckettFarmUtah,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
WB's Eatery,a-GV-9R5ERIqD1MC5u7En8w,Weber County,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/62f7bc73992cf47398d12702_89b0fe34-1f42-4e13-9be8-8d6a05e9c0b0_52300f0f612b49ced2935b804ede9f32.jpg,"455 25th St, Ogden, UT 84401",https://www.wbseatery.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
Kaffe Mercantile (South Ogden) ,phK0Zg8ySqKI5lHlyGyoZw,Weber County,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/6106b84d531d1a7b763c2cd8_Kaffe%20Mercantile.PNG,"930 Chambers St, South Ogden, Ut 84403 SUITE 1",https://www.kaffemercantile.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
Kaffe Mercantile (26th Street) ,Ksewm2YjQKOHmamPfU1Jfw,Weber County,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/6106b84d531d1a7b763c2cd8_Kaffe%20Mercantile.PNG,"1221 26th St, Ogden, UT 84401",https://www.kaffemercantile.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
Pig and A Jelly Jar (Ogden),Ouf3h1HZQDydRVt58jQ2OA,Weber County,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/62f7c3280c74fdea98a48c41_DSC_0327_800x.webp,"227 25th St, Ogden, UT 84401",https://www.pigandajellyjar.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
Lin Flores Shop,reaO2XqKQJaPndxXdHWvGA,,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/62ef4c6b27e6ae46201b4b2f_61acf488af5a8b02cb8489d3_Lin%20Flores%20Shop.png,,,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
